NAME,Urban_Rural_Custom,,,,,
Adams County,Rural,,,,,
Allen County,Urban,,,,,
Bartholomew County,Urban,,,,,
Benton County,Rural,,,,,
Blackford County,Rural,,,,,
Boone County,Urban,,,,,
Brown County,Rural,,,,,
Carroll County,Rural,,,,,
Cass County,Rural,,,,,
Clark County,Urban,,,,,
Clay County,Rural,,,,,
Clinton County,Rural,,,,,
Crawford County,Rural,,,,,
Daviess County,Rural,,,,,
Dearborn County,Rural,,,,,
Decatur County,Rural,,,,,
DeKalb County,Rural,,,,,
Delaware County,Urban,,,,,
Dubois County,Rural,,,,,
Elkhart County,Urban,,,,,
Fayette County,Rural,,,,,
Floyd County,Urban,,,,,
Fountain County,Rural,,,,,
Franklin County,Rural,,,,,
Fulton County,Rural,,,,,
Gibson County,Rural,,,,,
Grant County,Rural,,,,,
Greene County,Rural,,,,,
Hamilton County,Urban,,,,,
Hancock County,Urban,,,,,
Harrison County,Rural,,,,,
Hendricks County,Urban,,,,,
Henry County,Rural,,,,,
Howard County,Urban,,,,,
Huntington County,Rural,,,,,
Jackson County,Rural,,,,,
Jasper County,Rural,,,,,
Jay County,Rural,,,,,
Jefferson County,Rural,,,,,
Jennings County,Rural,,,,,
Johnson County,Urban,,,,,
Knox County,Rural,,,,,
Kosciusko County,Rural,,,,,
LaGrange County,Rural,,,,,
Lake County,Urban,,,,,
LaPorte County,Urban,,,,,
Lawrence County,Rural,,,,,
Madison County,Urban,,,,,
Marion County,Urban,,,,,
Marshall County,Rural,,,,,
Martin County,Rural,,,,,
Miami County,Rural,,,,,
Monroe County,Urban,,,,,
Montgomery County,Rural,,,,,
Morgan County,Urban,,,,,
Newton County,Rural,,,,,
Noble County,Rural,,,,,
Ohio County,Rural,,,,,
Orange County,Rural,,,,,
Owen County,Rural,,,,,
Parke County,Rural,,,,,
Perry County,Rural,,,,,
Pike County,Rural,,,,,
Porter County,Urban,,,,,
Posey County,Rural,,,,,
Pulaski County,Rural,,,,,
Putnam County,Rural,,,,,
Randolph County,Rural,,,,,
Ripley County,Rural,,,,,
Rush County,Rural,,,,,
St. Joseph County,Urban,,,,,
Scott County,Rural,,,,,
Shelby County,Rural,,,,,
Spencer County,Rural,,,,,
Starke County,Rural,,,,,
Steuben County,Rural,,,,,
Sullivan County,Rural,,,,,
Switzerland County,Rural,,,,,
Tippecanoe County,Urban,,,,,
Tipton County,Rural,,,,,
Union County,Rural,,,,,
Vanderburgh County,Urban,,,,,
Vermillion County,Rural,,,,,
Vigo County,Urban,,,,,
Wabash County,Rural,,,,,
Warren County,Rural,,,,,
Warrick County,Urban,,,,,
Washington County,Rural,,,,,
Wayne County,Rural,,,,,
Wells County,Rural,,,,,
White County,Rural,,,,,
Whitley County,Rural,,,,,