Date,DailyDeathsByDateofDeath,CumulativeDeathsByDateofDeath,,,,
10-Mar,0,0,,,,
11-Mar,0,0,,,,
12-Mar,0,0,,,,
13-Mar,0,0,,,,
14-Mar,0,0,,,,
15-Mar,0,0,,,,
16-Mar,1,1,,,,
17-Mar,2,3,,,,
18-Mar,1,4,,,,
19-Mar,0,4,,,,
20-Mar,3,7,,,,
21-Mar,4,11,,,,
22-Mar,4,15,,,,
23-Mar,5,20,,,,
24-Mar,3,23,,,,
25-Mar,5,28,,,,
26-Mar,7,35,,,,
27-Mar,3,38,,,,
28-Mar,7,45,,,,
29-Mar,12,57,,,,
30-Mar,12,69,,,,
31-Mar,16,85,,,,
1-Apr,16,101,,,,
2-Apr,15,116,,,,
3-Apr,18,134,,,,
4-Apr,9,143,,,,
5-Apr,19,162,,,,
6-Apr,11,173,,,,